Hex ID,Country,Callsign,Registration,Type
40128,Ethiopia,ETH688,ET-ATL,B788
40132,Ethiopia,ET605,ET-AUA,A359
40143,Ethiopia,ET519,ET-AUR,B789
40159,Ethiopia,ET3856,ET-AVQ,B77L
40168,Ethiopia,ETH3509,ET-AWE,B77L
40188,Ethiopia,ET516,ET-AXL,B789
40190,Ethiopia,BOE107,ET-AXT,B789
4.07E+04,United Kingdom,EXS92A,G-JZHM,B738
4.69E+04,Greece,AEE807,SX-DGA,A321
4.85E+04,Kingdom of the Netherlands,V8,GND,GND
4.86E+04,Kingdom of the Netherlands,PHSFG,PH-SFG,PC12
70181,Senegal,SZN303,6V-AMB,A319
74045,Seychelles,SEY022,S7-VEV,A20N
80065,Tanzania,TC400,5H-TCG,B788
152021,Russia,AFL2952,RA-73761,A320
152026,Russia,AFL1415,RA-73766,A320
152050,Russia,SVR386,RA-73808,A320
152066,Russia,SVR683,RA-73830,A320
152071,Russia,SVR438,RA-73841,A321
152079,Russia,NWS503,RA-73849,A333
300338,Italy,ITL401,I-MFAB,H25B
300371,Italy,LSA204,I-KERE,F2TH
300738,Italy,DLA9FM,I-ADJV,E195
320054,Italy,GCI2041,MM82041,A139
341646,Spain,IBE05YK,EC-IJN,A321
341682,Spain,IBS3674,EC-ILQ,A320
341699,Spain,SWT2SO,EC-INV,AT72
342090,Spain,IBS38RJ,EC-ILR,A320
342091,Spain,IBE31DC,EC-ILS,A320
342104,Spain,IBS3929,EC-JFH,A320
342105,Spain,IBS38YJ,EC-JFG,A320
342106,Spain,IBE33HR,EC-JEI,A319
342107,Spain,IBS3848,EC-JDM,A321
342188,Spain,IBE3482,EC-JFN,A320
342398,Spain,VLG2845,EC-JTR,A320
342581,Spain,VLG17LT,EC-KCU,A320
342591,Spain,VLG11FM,EC-KHN,A320
342592,Spain,VLG1899,EC-KJD,A320
342609,Spain,FTL322,EC-GXJ,SW4
342697,Spain,BARBO42,D.4-03,CN35
343046,Spain,VLG39QK,EC-KLB,A320
343141,Spain,IBE31ER,EC-KOH,A320
343185,Spain,FYS747,EC-KOG,C172
343194,Spain,VLG33BB,EC-KRH,A320
343385,Spain,IBS39YB,EC-LAA,A320
343694,Spain,ANE48MD,EC-LKF,CRJX
344156,Spain,VLG9TW,EC-LOB,A320
344158,Spain,VLG8YQ,EC-LOP,A320
344216,Spain,AEA42KD,EC-LPR,B738
344217,Spain,AEA48WW,EC-LPQ,B738
344218,Spain,ANE35FZ,EC-LPN,CRJX
344290,Spain,ORO903,EC-LQF,C550
344295,Spain,ANE87VA,EC-LQV,AT76
344345,Spain,IBE6275,EC-LXK,A333
344409,Spain,VLG9DC,EC-LVS,A320
344416,Spain,IBS3718,EC-LUS,A320
344446,Spain,AEA5010,EC-LUT,B738
344449,Spain,IBE30BT,EC-LVD,A320
344455,Spain,IBS3872,EC-LVQ,A320
344459,Spain,AEA9057,EC-LVR,B738
344481,Spain,IBE32WK,EC-LXQ,A320
344487,Spain,AEA1518,EC-LXV,B738
344496,Spain,IBS3854,EC-LLE,A320
344501,Spain,VLG45HV,EC-MBT,A320
344502,Spain,IBE6123,EC-LZX,A333
344557,Spain,VLG1YM,EC-MCU,A320
344644,Spain,VLG76MR,EC-MDZ,A320
344646,Spain,VLG37QW,EC-MEL,A320
344648,Spain,IBE31VA,EC-MDK,A320
344691,Spain,VLG7LV,EC-MEQ,A320
344694,Spain,VLG4NN,EC-MFK,A320
344697,Spain,VLG6HC,EC-MFN,A320
344699,Spain,VLG3QJ,EC-MGY,A321
345041,Spain,VLG2JU,EC-MHA,A321
345042,Spain,VLG8527,EC-MHB,A321
345043,Spain,VLG1982,EC-MHS,A321
345052,Spain,IBS37RS,EC-MEH,A320
345082,Spain,BCS5781,EC-MIE,B734
345084,Spain,VLG5VA,EC-MGF,A319
345102,Spain,VLG9QE,EC-MIQ,A319
345103,Spain,EVE825,EC-MII,A333
345116,Spain,VLG4QY,EC-MJR,A321
345204,Spain,VLG688V,EC-MKV,A319
345212,Spain,VLG8321,EC-MLM,A321
345215,Spain,AEA9117,EC-MJU,B738
345313,Spain,VLG55UP,EC-MOG,A320
345352,Spain,UX193,EC-MPE,B788
345353,Spain,UX55,EC-MOM,B788
345385,Spain,ANE31ZV,EC-MOX,CRJX
345398,Spain,VLG9DQ,EC-MQE,A320
345542,Spain,REECMRJ,EC-MRJ,A139
345583,Spain,ANE98MR,EC-MSB,CRJX
345611,Spain,VOE72DM,EC-MTL,A319
345612,Spain,VOE3873,EC-MTM,A319
345613,Spain,VOE30AL,EC-MTN,A319
345645,Spain,VLG1311,EC-MXG,A320
345646,Spain,VLG7DE,EC-MYC,A320
345681,Spain,FYS443A,EC-FVP,C172
345685,Spain,IBS3855,EC-MUF,A320
345686,Spain,IBS39YF,EC-MUK,A320
345687,Spain,ANE17AU,EC-MTZ,CRJX
345692,Spain,IBE32ZT,EC-MXY,A20N
345699,Spain,VOE81AH,EC-MUX,A319
346082,Spain,AEA69SY,EC-MVY,B738
346083,Spain,AEA41VQ,EC-MXM,B738
346107,Spain,AEA64FA,EC-NAB,B738
346111,Spain,VLG3VQ,EC-NCU,A20N
346114,Spain,EVE867,EC-NBO,A359
346156,Spain,VOE14GP,EC-NBD,A319
346181,Spain,UX89,EC-NBX,B789
346185,Spain,VLG8AY,EC-NEA,A20N
346186,Spain,VLG14JT,EC-NFH,A20N
346193,Spain,VOE72VQ,EC-NCB,A319
346199,Spain,BCS8351,EC-NFN,B752
346303,Spain,IBE32LB,EC-NER,A20N
346317,Spain,LAV5362,EC-NGC,B738
346319,Spain,SWT1811,EC-NIV,B752
346350,Spain,VOE57YQ,EC-NGL,A319
346352,Spain,VLG1TT,EC-NIJ,A20N
346355,Spain,VLG27HD,EC-NIY,A20N
346384,Spain,AEA042,EC-NGM,B789
346385,Spain,UX97,EC-NGN,B789
346386,Spain,IBE6171,EC-NGT,A359
346390,Spain,E90813,EC-NGY,A359
346391,Spain,IBB35VW,EC-NFA,E295
346456,Spain,IBE6585,EC-NJM,A359
346458,Spain,IBE3208,EC-NJU,A20N
346489,Spain,BCS6DP,EC-NLU,B734
346499,Spain,IBE34DH,EC-NJY,A20N
346644,Spain,VOE56UB,EC-NOY,A320
346648,Spain,VOE19WP,EC-NPC,A320
346649,Spain,VOE12XA,EC-NPB,A320
346690,Spain,VLG34RQ,EC-NLV,A321
346691,Spain,VLG1CL,EC-NLX,A321
347219,Spain,IBE31YY,EC-NTA,A20N
347247,Spain,IBS39EH,EC-NST,A21N
347255,Spain,BCS22W,EC-NUG,B738
347256,Spain,VOE2492,EC-NTL,A320
347257,Spain,VOE27YV,EC-NTM,A320
347258,Spain,VOE19KR,EC-NTU,A320
347259,Spain,TAP011,EC-NTX,A333
347283,Spain,IBB53VL,EC-NSG,AT76
347301,Spain,BCS5709,EC-NYM,B752
347309,Spain,AEA1506,EC-NVJ,B738
347343,Spain,IBE6659,EC-NVR,A359
347344,Spain,IBE32YA,EC-NVS,A20N
347386,Spain,IBE3167,EC-NXC,A359
347387,Spain,IB6117,EC-NXD,A359
347388,Spain,IB6403,EC-NXE,A359
347453,Spain,IBE32RP,EC-NZP,A20N
347481,Spain,AEA45TL,EC-NZR,B738
390813,France,FGCAT,F-GCAT,DR40
393231,France,FGMRR,F-GMRR,DR40
393324,France,AFR61MP,F-GMZE,A321
395272,France,FGUTS,F-GUTS,C208
3.96E+05,France,TVF51JM,F-GZHC,B738
396442,France,AF834,F-GZCC,A332
398208,France,FHAQI,F-HAQI,A210
398560,France,AFR24QQ,F-HBLA,E190
398564,France,AFR78FF,F-HBLE,E190
398567,France,AFR23CB,F-HBLH,E190
398568,France,AFR78RT,F-HBLI,E190
398569,France,AFR56KB,F-HBLJ,E190
398571,France,AFR73TZ,F-HBLR,E190
3.99E+05,France,AFR52RR,F-HBXC,E170
398911,France,FHCIR,F-HCIR,SR20
4.00E+05,France,FHGPC,F-HGPC,DR40
400389,Turks and Caicos Islands,IWY411,VQ-TRG,E120
400610,United Kingdom,BAW7W,G-VIIJ,B772
400663,United Kingdom,DHK3999,G-BMRA,B752
400664,United Kingdom,DHK2877,G-BMRB,B752
400685,United Kingdom,BAW9L,G-VIIM,B772
400773,United Kingdom,BAW125,G-VIIV,B772
400834,United Kingdom,BAW84KV,G-MIDX,A320
400877,United Kingdom,BAW955L,G-EUPG,A319
400936,United Kingdom,BAW779C,G-EUOA,A319
400942,United Kingdom,SHT7X,G-EUOF,A319
400960,United Kingdom,SHT19B,G-TTOE,A320
400981,United Kingdom,BAW444,G-EUUF,A320
400982,United Kingdom,SHT5T,G-EUUG,A320
401079,United Kingdom,EXS36TM,G-LSAI,B752
401240,United Kingdom,BAW567M,G-EUUT,A320
401610,United Kingdom,GASYP,G-ASYP,C150
403459,United Kingdom,GBTNH,G-BTNH,P28A
405631,United Kingdom,EZY95CU,G-EZDA,A319
405633,United Kingdom,EZY568X,G-EZDD,A319
405636,United Kingdom,EZY89GL,G-EZDH,A319
405638,United Kingdom,EZY82WC,G-EZDJ,A319
406011,United Kingdom,EZY74BF,G-EZTG,A320
406012,United Kingdom,EZY73GN,G-EZTH,A320
406014,United Kingdom,EZY32QL,G-EZTJ,A320
406015,United Kingdom,EZY76UK,G-EZTK,A320
406016,United Kingdom,EZY93DA,G-EZTM,A320
406018,United Kingdom,EZY32YK,G-EZTL,A320
406133,United Kingdom,EZY93CR,G-EZFR,A319
406222,United Kingdom,CFE504,G-LCYJ,E190
406229,United Kingdom,EZY78VW,G-EZTR,A320
406231,United Kingdom,CFE2L,G-LCYL,E190
406250,United Kingdom,BAW8LV,G-EUYI,A320
406279,United Kingdom,CFE43Y,G-LCYM,E190
406444,United Kingdom,EZY57WJ,G-EZGG,A319
406445,United Kingdom,EZY92DJ,G-EZGH,A319
406446,United Kingdom,EZY75PQ,G-EZGI,A319
406542,United Kingdom,EZY85EN,G-EZUI,A320
406544,United Kingdom,EZY38UH,G-EZUK,A320
406590,United Kingdom,BAW21B,G-STBD,B77W
406591,United Kingdom,BAW11M,G-STBE,B77W
406660,United Kingdom,TOM7HL,G-TAWA,B738
406666,United Kingdom,EZY56AR,G-EZUL,A320
406669,United Kingdom,EZY2150,G-EZUO,A320
406670,United Kingdom,EZY727P,G-EZUW,A320
406674,United Kingdom,BAW425,G-EUYN,A320
406696,United Kingdom,TOM9XN,G-TAWD,B738
406754,United Kingdom,EZY46CE,G-EZWC,A320
406814,United Kingdom,VIR73Q,G-VGEM,A333
406890,United Kingdom,BA171,G-ZBJC,B788
406947,United Kingdom,BAW15K,G-STBG,B77W
4.07E+05,United Kingdom,EXS26TX,G-JZHN,B738
407031,United Kingdom,EXS52RK,G-JZHG,B738
407118,United Kingdom,REV2143,G-RVLY,F406
407131,United Kingdom,VIR19Z,G-VBOW,B789
407176,United Kingdom,EXS4NJ,G-JZBI,B738
407178,United Kingdom,EXS81FL,G-JZBK,B738
407179,United Kingdom,EXS45D,G-JZBL,B738
407267,United Kingdom,EXS4MF,G-DRTA,B738
407462,United Kingdom,BAW689,G-TTNC,A20N
407464,United Kingdom,BAW821C,G-TTNA,A20N
407510,United Kingdom,WUK68AZ,G-WUKG,A321
407512,United Kingdom,TOM7EG,G-TUIM,B789
407536,United Kingdom,BAW680,G-TTNF,A20N
407569,United Kingdom,EZY61AD,G-UZHJ,A20N
407573,United Kingdom,EZY81NK,G-EZRX,A320
407574,United Kingdom,EZY41CT,G-EZRY,A320
407575,United Kingdom,EZY74CU,G-EZRZ,A320
407604,United Kingdom,GIPGL,G-IPGL,A109
407631,United Kingdom,EXS2NR,G-JZBS,B738
407665,United Kingdom,GCLWA,G-CLWA,GLID
407687,United Kingdom,EZY51CA,G-UZHS,A20N
407688,United Kingdom,EZY34RP,G-UZHT,A20N
407689,United Kingdom,EZY72HZ,G-UZHU,A20N
407698,United Kingdom,VIR137Y,G-VJAM,A35K
407777,United Kingdom,CFE95C,G-LCAB,E190
407780,United Kingdom,BND91R,G-MCSI,S92
407794,United Kingdom,EZY48AW,G-UZLB,A20N
407795,United Kingdom,EZY23WU,G-UZLC,A20N
407837,United Kingdom,EZY65NE,G-UZMG,A21N
407844,United Kingdom,BAW5FC,G-NEOZ,A21N
407914,United Kingdom,EXS77GS,G-DRTZ,B738
407944,United Kingdom,BAW91C,G-XWBH,A35K
407959,United Kingdom,EZY63ZA,G-UZLK,A20N
407981,United Kingdom,LOG65KL,G-LMRA,AT45
407993,United Kingdom,BAW12,G-STBN,B77W
407994,United Kingdom,BA29Q,G-STBO,B77W
407995,United Kingdom,BAW04A,G-STBP,B77W
424194,Cayman Islands,VPCKH,VP-CKH,A318
424528,Bermuda,VPAEW,VP-AEW,C402
440005,Austria,EJU42JQ,OE-ING,A320
440030,Austria,EJU49LM,OE-IVB,A320
440031,Austria,EJU4658,OE-IVC,A320
440037,Austria,EJU15HQ,OE-IJR,A320
440039,Austria,AUA859,OE-LBD,A321
440050,Austria,AUA516M,OE-LBR,A320
440057,Austria,EJU65BY,OE-IVE,A320
440062,Austria,EJU62EK,OE-IVF,A320
440065,Austria,EJU891K,OE-LQZ,A319
440084,Austria,C33,OE-XEQ,EC35
440090,Austria,EJU7514,OE-IVL,A320
440097,Austria,EJU98EJ,OE-IVM,A320
440132,Austria,EJU85BJ,OE-LQI,A319
440159,Austria,EJU159N,OE-INA,A320
440170,Austria,EJU68GU,OE-LQN,A319
440175,Austria,EJU37MW,OE-IJO,A320
440176,Austria,EJU63KW,OE-IJF,A320
440179,Austria,EJU49LR,OE-LQJ,A319
440185,Austria,EJU1860,OE-IJI,A320
440191,Austria,EJU39JX,OE-INB,A320
440193,Austria,TAY6DN,OE-IMC,B738
440195,Austria,EJU89AF,OE-IZG,A320
440209,Austria,EJU57RK,OE-IZH,A320
440219,Austria,EJU41DL,OE-IZJ,A320
440352,Austria,EJU53XR,OE-IJV,A320
440469,Austria,EJU57FW,OE-ICR,A320
440484,Austria,EJU83PA,OE-LKC,A319
440524,Austria,OE9466,OE-9466,DIMO
440589,Austria,EJU74GF,OE-LQM,A319
440604,Austria,AUA377M,OE-LZE,A320
440605,Austria,AUA4BZ,OE-LZD,A320
440606,Austria,AUA3DG,OE-LZC,A320
440607,Austria,AUA6Y,OE-LZB,A320
440611,Austria,EJU6723,OE-ISB,A21N
440612,Austria,EJU94FY,OE-ISE,A21N
440665,Austria,AUA7LK,OE-LBI,A320
440666,Austria,AUA2B,OE-LBJ,A320
440732,Austria,EJU37BD,OE-LQE,A319
440735,Austria,EJU17YE,OE-LQS,A319
440824,Austria,AUA5LG,OE-LWH,E195
440827,Austria,AUA402X,OE-LWK,E195
440828,Austria,AUA5EC,OE-LWL,E195
440829,Austria,AUA15G,OE-LWM,E195
440833,Austria,EJU54BL,OE-IJN,A320
452037,Bulgaria,BGH5032,LZ-LAE,A320
452084,Bulgaria,BCS3YK,LZ-CGW,B734
452087,Bulgaria,UBD495,LZ-BHM,A320
452101,Bulgaria,BCS17D,LZ-CXB,B738
452113,Bulgaria,CFG9EW,LZ-LAH,A320
452126,Bulgaria,CFG846,LZ-LAK,A320
452135,Bulgaria,MAC132Q,LZ-FSB,A320
459901,Denmark,FHV01,OY-FHA,BN2P
461473,Finland,OHHTJ,OH-HTJ,R44
470350,Hungary,FCA2BG,HA-BGQ,PAY2
478054,Norway,HKS181,LN-OQM,S92
478089,Norway,WIF8TR,LN-WIA,DH8A
478095,Norway,WIF14B,LN-WIM,DH8A
478097,Norway,WIF11G,LN-WIO,DH8A
478117,Norway,BRNCO52,5699,C30J
478340,Norway,WIF15G,LN-RDV,DH8D
478371,Norway,SAS53E,LN-TUM,B737
478387,Norway,SAS9239,LN-RKI,A321
478741,Norway,NOZ95J,LN-DYK,B738
478742,Norway,NOZ9ZB,LN-DYJ,B738
478772,Norway,NOZ7CT,LN-DYU,B738
478791,Norway,WIF8ZV,LN-WSC,DH8B
479227,Norway,NOZ1869,LN-NIN,B738
480880,Kingdom of the Netherlands,R40031,Q-31,H64
484131,Kingdom of the Netherlands,KLM1706,PH-BXB,B738
484132,Kingdom of the Netherlands,KLM85R,PH-BXC,B738
484134,Kingdom of the Netherlands,TRA31T,PH-HZD,B738
484135,Kingdom of the Netherlands,TRA54V,PH-HZE,B738
484161,Kingdom of the Netherlands,KLM76T,PH-BXH,B738
484166,Kingdom of the Netherlands,KLM25F,PH-BXN,B738
484186,Kingdom of the Netherlands,TRA6G,PH-HZL,B738
484349,Kingdom of the Netherlands,P4WWS,P4-WWS,GLEX
484411,Kingdom of the Netherlands,KLM877,PH-AOC,A332
484444,Kingdom of the Netherlands,KLM671,PH-AOE,A332
484445,Kingdom of the Netherlands,KLM787,PH-AOF,A332
484493,Kingdom of the Netherlands,P4136,P4-136,GLEX
484506,Kingdom of the Netherlands,TRA32V,PH-HZO,B738
484529,Kingdom of the Netherlands,PHEPO,PH-EPO,P28A
484826,Kingdom of the Netherlands,PH1018,PH-1018,GLID
484966,Kingdom of the Netherlands,KLM26P,PH-BGG,B737
485000,Kingdom of the Netherlands,KLM875,PH-BVK,B77W
485009,Kingdom of the Netherlands,TRA9N,PH-HSI,B738
485061,Kingdom of the Netherlands,TRA5359,PH-HSJ,B738
485064,Kingdom of the Netherlands,KLM65J,PH-EZY,E190
485065,Kingdom of the Netherlands,KLM969,PH-EZZ,E190
485086,Kingdom of the Netherlands,KLM30B,PH-EXD,E190
485123,Kingdom of the Netherlands,TRA6887,PH-HSM,B738
485171,Kingdom of the Netherlands,FYG35P,PH-TLP,FA7X
485206,Kingdom of the Netherlands,KLM997,PH-EXE,E190
485207,Kingdom of the Netherlands,KLM59H,PH-EXF,E190
485209,Kingdom of the Netherlands,TRA1486,PH-HXA,B738
485339,Kingdom of the Netherlands,CND320,PH-CDH,B738
485341,Kingdom of the Netherlands,KL685,PH-BHG,B789
485343,Kingdom of the Netherlands,KL806,PH-BHI,B789
485345,Kingdom of the Netherlands,KLM702,PH-BHM,B789
485346,Kingdom of the Netherlands,PHAAA,PH-AAA,BALL
485778,Kingdom of the Netherlands,KLM97K,PH-EXR,E75L
485789,Kingdom of the Netherlands,KLM641,PH-BHO,B789
485814,Kingdom of the Netherlands,KLM69U,PH-EXT,E75L
485837,Kingdom of the Netherlands,PH1600,PH-1600,DIMO
485871,Kingdom of the Netherlands,KLM1595,PH-EXV,E190
485874,Kingdom of the Netherlands,KLM58G,PH-EXX,E75L
485875,Kingdom of the Netherlands,KLM54B,PH-EXY,E190
485955,Kingdom of the Netherlands,PHFRS,PH-FRS,BALL
486071,Kingdom of the Netherlands,KLM603,PH-BKL,B78X
486258,Kingdom of the Netherlands,KLM941,PH-NXB,E295
486440,Kingdom of the Netherlands,PHNBR,PH-NBR,BALL
486484,Kingdom of the Netherlands,KLM94Y,PH-NXG,E295
486493,Kingdom of the Netherlands,KLM98E,PH-NXJ,E295
486494,Kingdom of the Netherlands,KLM83H,PH-NXK,E295
486495,Kingdom of the Netherlands,KLM66Q,PH-NXL,E295
489220,Poland,ENT59EC,SP-ESA,B738
489222,Poland,ENT92WC,SP-ESC,B738
489223,Poland,ENT58ZX,SP-ESD,B738
489224,Poland,ENT73HC,SP-ESE,B738
489227,Poland,ENT15TZ,SP-ESH,B738
489228,Poland,ENT4102,SP-ESI,B738
489789,Poland,LOT6AD,SP-LDI,E170
490603,Portugal,ONI99Z,CS-APC,PA34
491311,Portugal,NJE514D,CS-DXQ,C56X
491673,Portugal,JME750A,CS-ESS,GL7T
493284,Portugal,NJE391W,CS-LTD,C68A
493290,Portugal,NJE012H,CS-LTP,C68A
494112,Portugal,NJE341D,CS-PHR,E55P
494114,Portugal,NJE483Y,CS-PHT,E55P
495037,Portugal,TAP51MA,CS-TAW,E195
495039,Portugal,TAP545W,CS-TAY,E195
495145,Portugal,TAP448,CS-TJE,A321
495148,Portugal,TAP579R,CS-TJH,A321
495149,Portugal,TAP446T,CS-TJI,A21N
495151,Portugal,TAP927Z,CS-TJQ,A21N
495215,Portugal,TAP493,CS-TPU,E190
495216,Portugal,TAP1155,CS-TPV,E190
495217,Portugal,TAP45LV,CS-TPW,E190
495245,Portugal,SAT437,CS-TRE,DH8D
495246,Portugal,SAT503,CS-TRF,DH8D
495247,Portugal,SAT615,CS-TRG,DH8D
495265,Portugal,SAT445,CS-TSE,DH8D
495290,Portugal,TAP873Y,CS-TTP,A319
495292,Portugal,TAP668,CS-TTR,A319
495293,Portugal,TAP72GH,CS-TTS,A319
495297,Portugal,TAP1037,CS-TTW,E195
495298,Portugal,TAP56DH,CS-TTX,E195
495303,Portugal,TAP201,CS-TXC,A21N
495309,Portugal,TAP235V,CS-TXI,A21N
500117,San Marino,T7FBQ,T7-FBQ,GL5T
500194,San Marino,SMF809,T7-ASK,A306
500214,San Marino,MEA429,T7-ME9,A21N
500230,San Marino,T7OWN,T7-OWN,GLF6
501025,Albania,AWT224,ZA-ALD,B734
508191,Ukraine,UKL5002,UR-CGV,AN12
508404,Ukraine,SQP7553,UR-SQD,B737
508429,Ukraine,TWI5412,UR-SQG,B738
508497,Ukraine,FIA617,UR-SQQ,B738
511050,Estonia,ESANS,ES-ANS,C172
511153,Estonia,TOM5DK,ES-SAY,A320
511156,Estonia,SAS1606,ES-SAD,A320
511158,Estonia,JAF2MY,ES-SAA,A320
511163,Estonia,TOM82H,ES-SAG,A320
511170,Estonia,MBU6585,ES-MBA,A20N
516091,Montenegro,MNE103,4O-AOA,E195
601115,Kyrgyzstan,ANK4502,EX-32010,A320
601839,Turkmenistan,TUA422,EZ-A779,B77L
601848,Turkmenistan,TUA761,EZ-F428,IL76
683296,Kazakhstan,VSV496,UP-B3730,B738
700015,Afghanistan,KMF9909,YA-KMH,A343
702082,Bangladesh,UBG307,S2-AJD,B738
702093,Bangladesh,BBC721,S2-AEW,B738
706029,Kuwait,KAC301,9K-AKI,A320
706056,Kuwait,KU418,9K-AOC,B77W
706058,Kuwait,KAC168,9K-AOE,B77W
706059,Kuwait,KAC283,9K-AOF,B77W
706060,Kuwait,KAC134,9K-AKL,A20N
706066,Kuwait,KAC102,9K-APF,A338
710055,Saudi Arabia,SVA861,HZ-AK13,B77W
710105,Saudi Arabia,SV823,HZ-AK27,B77W
710111,Saudi Arabia,SVA022,HZ-AK39,B77W
710117,Saudi Arabia,SVA150,HZ-AS55,A320
710119,Saudi Arabia,SVA551,HZ-AK41,B77W
710121,Saudi Arabia,SVA118,HZ-AK43,B77W
710127,Saudi Arabia,FAD615,HZ-FAB,A320
710129,Saudi Arabia,FAD318,HZ-FAD,A320
710411,Saudi Arabia,SV899,HZ-AR22,B789
728834,Iraq,FBA222,YI-BAT,B739
738050,Israel,ELY387,4X-EHA,B739
738051,Israel,ELY553,4X-EHB,B739
738052,Israel,ELY383,4X-EHC,B739
738054,Israel,ELY325,4X-EHE,B739
738055,Israel,ELY339,4X-EHF,B739
738057,Israel,ELY375,4X-EHI,B739
738058,Israel,ELY2373,4X-EKU,B738
738061,Israel,ELY356,4X-EKT,B738
738062,Israel,ELY5109,4X-EKR,B738
738065,Israel,ELY397,4X-EKC,B738
738068,Israel,ELY313,4X-EKI,B738
738069,Israel,ELY328,4X-EKO,B738
738074,Israel,ELY317,4X-ECD,B772
738100,Israel,ELY028,4X-ERA,B788
738102,Israel,ELY007,4X-ERC,B788
738286,Israel,ISR762,4X-ABI,A320
738289,Israel,ISR728,4X-ABW,A320
740736,Jordan,RJA164,JY-AYV,A321
740822,Jordan,RJ263,JY-BAB,B788
740823,Jordan,RJA261G,JY-BAC,B788
740826,Jordan,RJA274,JY-BAF,B788
740827,Jordan,RJA112,JY-BAG,B788
740828,Jordan,RJA615,JY-BAH,B788
748051,Lebanon,MEA430,OD-MEE,A332
750260,Malaysia,MAS318,9M-MTM,A333
750261,Malaysia,MAS140,9M-MTN,A333
750425,Malaysia,MXD165,9M-LRL,B38M
750451,Malaysia,AXM38,9M-AGI,A20N
750465,Malaysia,AXM79,9M-AGS,A20N
750478,Malaysia,XAX183,9M-XBE,A333
750534,Malaysia,WCM6640,9M-WCZ,B738
758073,Philippines,RPC8604,RP-C8604,A320
758305,Philippines,PAL538,RP-C9905,A321
758369,Philippines,PAL595,RP-C9914,A321
758502,Philippines,APG626,RP-C8963,A320
758560,Philippines,APG287,RP-C8940,A320
758650,Philippines,CEB580,RP-C4123,A21N
758722,Philippines,CEB5062,RP-C4136,A20N
770593,Sri Lanka,ALK471,4R-ALS,A332
778567,Syria,SYR202,YK-AKG,A320
780019,China,CCA738,B-6092,A332
780079,China,JDL2651,B-5113,B738
780218,China,CPA006,B-LIB,B744
780232,China,CPA3170,B-LJB,B748
780366,China,JDL2619,B-5333,B738
780459,China,CHH7749,B-7399,B738
780493,China,YZR7418,B-2432,B744
780630,China,HLF9828,B-2079,B77L
780978,China,DKH1946,B-6966,A320
781112,China,MF801,B-7838,B789
781361,China,CZ306,B-1243,B789
781463,China,CES5186,B-300Q,A333
781641,China,CCA855,B-307A,A359
781666,China,CSN344,B-209X,B789
781929,China,DKH1606,B-30EQ,A21N
789204,Hong Kong,CPA870,B-LRX,A359
789216,Hong Kong,CPA253,B-LXD,A35K
789217,Hong Kong,CPA675,B-LXE,A35K
789218,Hong Kong,CX271,B-LXF,A35K
789229,Hong Kong,HKE624,B-LEL,A321
789230,Hong Kong,CPA844,B-LXJ,A35K
789231,Hong Kong,CPA101,B-LXK,A35K
789236,Hong Kong,CPA798,B-HNW,B773
789241,Hong Kong,CX840,B-LQD,A359
789242,Hong Kong,CPA566,B-LQE,A359
789243,Hong Kong,CPA238,B-LQC,A359
789244,Hong Kong,CPA843,B-LQF,A359
789245,Hong Kong,CX270,B-LXM,A35K
789247,Hong Kong,CX812,B-LXO,A35K
798033,China,CCA1732,B-6032,A319
8.00E+05,India,AIC102,VT-ALJ,B77W
800521,India,AIC662,VT-SCR,A319
